127.0.0.1, 2012-08-22 12:32:20, GET, /, HTTP/1.1, 200, 0.184594
127.0.0.1, 2012-08-22 12:32:20, GET, /init/static/css/web2py.css, HTTP/1.1, 200, 0.000443
127.0.0.1, 2012-08-22 12:32:20, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.000344
127.0.0.1, 2012-08-22 12:32:20, GET, /most_popular, HTTP/1.1, 200, 0.038356
127.0.0.1, 2012-08-22 12:35:43, GET, /, HTTP/1.1, 200, 0.044935
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/css/web2py.css, HTTP/1.1, 200, 0.000718
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/plugin_paginator/paginator.css, HTTP/1.1, 200, 0.001597
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.001788
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000472
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/css/bootswatch.css, HTTP/1.1, 200, 0.001398
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001663
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001304
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.000902
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.001312
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000366
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.000388
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/images/logo.png, HTTP/1.1, 200, 0.000747
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/images/poweredby.png, HTTP/1.1, 200, 0.000439
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/images/google-buzz.png, HTTP/1.1, 200, 0.000439
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.000721
127.0.0.1, 2012-08-22 12:35:43, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.000288
127.0.0.1, 2012-08-22 12:35:43, GET, /most_popular, HTTP/1.1, 200, 0.043184
127.0.0.1, 2012-08-22 12:39:26, GET, /, HTTP/1.1, 200, 0.048756
